chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,chose_low,chose_high,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,trial,q_reward,mu,newChose_left,newChose_right
0,1,1,0,1,0,0,139,1,0,0,1,0.0424680170377635,0.0424680170377635,0.0320932682487372,1,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,1,0.0242618685924445,0.0242618685924445,0.0105511853465379,2,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,1,-0.0101676855550545,0.0101676855550545,-0.0392081749394975,3,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,1,-0.0105244130401685,0.0105244130401685,0.0383265061527558,4,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,1,0.00224885964851848,0.00224885964851848,-0.0301109705843241,5,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,1,0.00510002289688752,0.00510002289688752,-0.0609283020192137,6,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,1,0.0664119915477035,0.0664119915477035,-0.0354744523689499,7,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,1,0.084667128310454,0.084667128310454,0.0280758161611235,8,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,1,-0.00302749227204252,0.00302749227204252,-0.0393413446765856,9,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,1,-0.0893294783393585,0.0893294783393585,0.0746522126226437,10,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,1,0.0291135225520775,0.0291135225520775,0.00367463043192058,11,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,1,-0.0712856293224295,0.0712856293224295,-0.0644593395787822,12,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,1,0.0463569219066925,0.0463569219066925,0.0589276328604176,13,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,1,-0.00177777091217651,0.00177777091217651,-0.000289858775775725,14,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,1,-0.0849563161206195,0.0849563161206195,0.0317828146983895,15,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,1,-0.0330550615412825,0.0330550615412825,0.0630376875063893,16,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,1,-0.0325776561404145,0.0325776561404145,0.0359109436378051,17,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,1,0.0874220591133115,0.0874220591133115,-0.0577160528989711,18,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,1,0.0956002537120525,0.0956002537120525,0.0555865003822358,19,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,1,-0.0599509202891595,0.0599509202891595,-0.0640099943133201,20,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,1,-0.0358281229393675,0.0358281229393675,-0.0700860565983137,21,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,1,0.0503377706794735,0.0503377706794735,0.0716145507619524,22,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,1,-0.000817038423989475,0.000817038423989475,0.0634763380352169,23,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,1,0.0386931671863055,0.0386931671863055,-0.034998354537978,24,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,1,0.0478889571731435,0.0478889571731435,-0.0502310665491241,25,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,2,0.072796084241355,0.072796084241355,-0.0747417670965332,1,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,2,0.0567388883452535,0.0567388883452535,0.067177173290376,2,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,2,-0.0978168346662485,0.0978168346662485,-0.0483847436731025,3,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,2,0.0451578844011735,0.0451578844011735,-0.074267091412614,4,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,2,-0.048428404981377,0.048428404981377,-0.0518017735880936,5,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,2,-0.0562575626936115,0.0562575626936115,0.00894468948358355,6,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,2,-0.0999814042845825,0.0999814042845825,0.0523375267138302,7,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,2,0.050589155333916,0.050589155333916,-0.0430454707450765,8,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,2,0.0825124779114195,0.0825124779114195,0.0173511732518442,9,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,2,0.0157595095634785,0.0157595095634785,-0.0789797641280259,10,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,2,-0.0674737613576565,0.0674737613576565,-0.0366543254278347,11,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,2,-0.00535951213170652,0.00535951213170652,0.0254503132213093,12,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,2,-0.0423483348180105,0.0423483348180105,-0.0080343266698339,13,0,0,0,1
