chose_left,chose_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial,reward
0.0,1.0,139,0.5,0.5,1,0.3929383711957233,0.0424680170377635,1,1.0
0.0,1.0,139,0.72,0.72,1,-0.42772133009924107,0.0242618685924445,2,1.0
1.0,0.0,139,0.5,0.5,1,-0.5462970928715938,0.0101676855550545,3,1.0
0.0,1.0,139,0.74,0.74,1,0.10262953816578246,0.0105244130401685,4,0.0
0.0,1.0,139,0.66,0.66,1,0.43893793957112615,0.0022488596485184,5,1.0
0.0,1.0,139,0.75,0.75,1,-0.15378707975107808,0.0051000228968875,6,1.0
1.0,0.0,139,0.78,0.78,1,0.961528396769231,0.0664119915477035,7,1.0
1.0,0.0,139,0.89,0.89,1,0.3696594771697266,0.084667128310454,8,1.0
1.0,0.0,139,0.84,0.84,1,-0.03813619703127813,0.0030274922720425,9,1.0
0.0,1.0,139,0.83,0.83,1,-0.21576496361169895,0.0893294783393585,10,0.0
1.0,0.0,139,0.84,0.84,1,-0.3136439676982612,0.0291135225520775,11,1.0
0.0,1.0,139,0.91,0.91,1,0.45809941476808325,0.0712856293224295,12,0.0
1.0,0.0,139,0.87,0.87,1,-0.12285551064075118,0.0463569219066925,13,1.0
1.0,0.0,139,0.88,0.88,1,-0.8806442067808633,0.0017777709121765,14,1.0
0.0,1.0,139,0.87,0.87,1,-0.20391148933913716,0.0849563161206195,15,0.0
0.0,1.0,139,0.86,0.86,1,0.4759908114640714,0.0330550615412825,16,0.0
0.0,1.0,139,0.87,0.87,1,-0.635016539093,0.0325776561404145,17,0.0
1.0,0.0,139,0.9,0.9,1,-0.6490964877050149,0.0874220591133115,18,1.0
1.0,0.0,139,0.9,0.9,1,0.06310274768367674,0.0956002537120525,19,1.0
0.0,1.0,139,0.93,0.93,1,0.06365517419373212,0.0599509202891595,20,0.0
0.0,1.0,139,0.93,0.93,1,0.2688019171026421,0.0358281229393675,21,0.0
1.0,0.0,139,0.92,0.92,1,0.6988635881555791,0.0503377706794735,22,1.0
1.0,0.0,139,0.91,0.91,1,0.4489106497212705,0.0008170384239894,23,1.0
1.0,0.0,139,0.91,0.91,1,0.22204702135516574,0.0386931671863055,24,1.0
1.0,0.0,139,0.92,0.92,1,0.4448867651404431,0.0478889571731435,25,1.0
0.0,1.0,139,0.5,0.5,2,-0.3540821722936436,0.072796084241355,1,1.0
1.0,0.0,139,0.77,0.77,2,-0.2764226887553718,0.0567388883452535,2,1.0
0.0,1.0,139,0.8,0.8,2,-0.5434735382420888,0.0978168346662485,3,0.0
1.0,0.0,139,0.81,0.81,2,-0.41257190722234127,0.0451578844011735,4,1.0
0.0,1.0,139,0.88,0.88,2,0.2619522477089755,0.048428404981377,5,0.0
0.0,1.0,139,0.9,0.9,2,-0.8157901201098496,0.0562575626936115,6,0.0
0.0,1.0,139,0.91,0.91,2,-0.13259765464094353,0.0999814042845825,7,0.0
1.0,0.0,139,0.92,0.92,2,-0.1382744733407124,0.050589155333916,8,1.0
1.0,0.0,139,0.93,0.93,2,-0.01262980469938757,0.0825124779114195,9,1.0
1.0,0.0,139,0.92,0.92,2,-0.14833941940834405,0.0157595095634785,10,1.0
0.0,1.0,139,0.91,0.91,2,-0.37547755405506944,0.0674737613576565,11,0.0
0.0,1.0,139,0.93,0.93,2,-0.14729738607438358,0.0053595121317065,12,0.0
