chose_left,chose_right,reward_left,reward_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial
0.0,1.0,0.0,1.0,139,0.5,0.5,1,-0.250919762305275,0.0424680170377635,1
0.0,1.0,0.0,1.0,139,0.72,0.72,1,0.9014286128198323,0.0242618685924445,2
1.0,0.0,1.0,0.0,139,0.5,0.5,1,0.4639878836228102,0.0101676855550545,3
0.0,1.0,1.0,0.0,139,0.74,0.74,1,0.1973169683940732,0.0105244130401685,4
0.0,1.0,0.0,1.0,139,0.66,0.66,1,-0.687962719115127,0.0022488596485184,5
0.0,1.0,0.0,1.0,139,0.75,0.75,1,-0.6880109593275947,0.0051000228968875,6
1.0,0.0,1.0,0.0,139,0.78,0.78,1,-0.8838327756636011,0.0664119915477035,7
1.0,0.0,1.0,0.0,139,0.89,0.89,1,0.7323522915498704,0.084667128310454,8
1.0,0.0,1.0,0.0,139,0.84,0.84,1,0.2022300234864176,0.0030274922720425,9
0.0,1.0,1.0,0.0,139,0.83,0.83,1,0.416145155592091,0.0893294783393585,10
1.0,0.0,1.0,0.0,139,0.84,0.84,1,-0.9588310114083951,0.0291135225520775,11
0.0,1.0,1.0,0.0,139,0.91,0.91,1,0.9398197043239886,0.0712856293224295,12
1.0,0.0,1.0,0.0,139,0.87,0.87,1,0.6648852816008435,0.0463569219066925,13
1.0,0.0,1.0,0.0,139,0.88,0.88,1,-0.5753217786434477,0.0017777709121765,14
0.0,1.0,1.0,0.0,139,0.87,0.87,1,-0.6363500655857988,0.0849563161206195,15
0.0,1.0,1.0,0.0,139,0.86,0.86,1,-0.6331909802931324,0.0330550615412825,16
0.0,1.0,1.0,0.0,139,0.87,0.87,1,-0.39151551408092455,0.0325776561404145,17
1.0,0.0,1.0,0.0,139,0.9,0.9,1,0.04951286326447568,0.0874220591133115,18
1.0,0.0,1.0,0.0,139,0.9,0.9,1,-0.13610996271576847,0.0956002537120525,19
0.0,1.0,1.0,0.0,139,0.93,0.93,1,-0.4175417196039162,0.0599509202891595,20
0.0,1.0,1.0,0.0,139,0.93,0.93,1,0.22370578944475894,0.0358281229393675,21
1.0,0.0,1.0,0.0,139,0.92,0.92,1,-0.7210122786959163,0.0503377706794735,22
1.0,0.0,1.0,0.0,139,0.91,0.91,1,-0.4157107029295637,0.0008170384239894,23
1.0,0.0,1.0,0.0,139,0.91,0.91,1,-0.2672763134126166,0.0386931671863055,24
1.0,0.0,1.0,0.0,139,0.92,0.92,1,-0.08786003156592814,0.0478889571731435,25
0.0,1.0,0.0,1.0,139,0.5,0.5,2,0.5703519227860272,0.072796084241355,1
1.0,0.0,1.0,0.0,139,0.77,0.77,2,-0.6006524356832805,0.0567388883452535,2
0.0,1.0,1.0,0.0,139,0.8,0.8,2,0.02846887682722321,0.0978168346662485,3
1.0,0.0,1.0,0.0,139,0.81,0.81,2,0.18482913772408494,0.0451578844011735,4
0.0,1.0,1.0,0.0,139,0.88,0.88,2,-0.9070991745600046,0.048428404981377,5
0.0,1.0,1.0,0.0,139,0.9,0.9,2,0.21508970380287673,0.0562575626936115,6
0.0,1.0,1.0,0.0,139,0.91,0.91,2,-0.6589517526254169,0.0999814042845825,7
1.0,0.0,1.0,0.0,139,0.92,0.92,2,-0.869896814029441,0.050589155333916,8
1.0,0.0,1.0,0.0,139,0.93,0.93,2,0.8977710745066665,0.0825124779114195,9
1.0,0.0,1.0,0.0,139,0.92,0.92,2,0.9312640661491187,0.0157595095634785,10
0.0,1.0,1.0,0.0,139,0.91,0.91,2,0.6167946962329223,0.0674737613576565,11
0.0,1.0,1.0,0.0,139,0.93,0.93,2,-0.39077246165325863,0.0053595121317065,12
0.0,1.0,1.0,0.0,139,0.96,0.96,2,-0.8046557719872323,0.0423483348180105,13
1.0,0.0,1.0,0.0,139,0.96,0.96,2,0.3684660530243138,0.0613904117129875,14
0.0,1.0,1.0,0.0,139,0.94,0.94,2,-0.1196950125207974,0.0399822641579765,15
1.0,0.0,1.0,0.0,139,0.95,0.95,2,-0.7559235303104423,0.0885467159620155,16
0.0,1.0,1.0,0.0,139,0.96,0.96,2,-0.00964617977745963,0.0233582407594355,17
1.0,0.0,1.0,0.0,139,0.95,0.95,2,-0.9312229577695632,0.0014155762738805,18
